ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-02-05,10728.983049693643,10039.376903272045,11477.921694233326,10728.983049693643,10728.983049693643,31.682285112003488,31.682285112003488,31.682285112003488,128.19211995606398,128.19211995606398,128.19211995606398,-96.5098348440605,-96.5098348440605,-96.5098348440605,0.0,0.0,0.0,10760.665334805646
2018-02-06,10728.426885008766,10042.170812613615,11476.885388150678,10728.426885008766,10728.426885008766,30.934300628905497,30.934300628905497,30.934300628905497,131.19089596948285,131.19089596948285,131.19089596948285,-100.25659534057738,-100.25659534057738,-100.25659534057738,0.0,0.0,0.0,10759.361185637672
2018-02-07,10727.870720323888,10019.918021897796,11470.633935369438,10727.870720323888,10727.870720323888,26.347590461142673,26.347590461142673,26.347590461142673,130.40851066587308,130.40851066587308,130.40851066587308,-104.06092020473042,-104.06092020473042,-104.06092020473042,0.0,0.0,0.0,10754.21831078503
2018-02-08,10727.31455563901,10041.944016775744,11524.159285095375,10727.31455563901,10727.31455563901,24.038968651520612,24.038968651520612,24.038968651520612,132.16746761296417,132.16746761296417,132.16746761296417,-108.12849896144357,-108.12849896144357,-108.12849896144357,0.0,0.0,0.0,10751.353524290531
2018-02-09,10726.758390954132,9977.035113061102,11457.345877935555,10726.758390954132,10726.758390954132,6.8332111076108015,6.8332111076108015,6.8332111076108015,119.50192119514433,119.50192119514433,119.50192119514433,-112.66871008753353,-112.66871008753353,-112.66871008753353,0.0,0.0,0.0,10733.591602061742
2018-02-12,10725.089896899499,10023.166046047907,11467.694533814927,10725.089896899499,10725.089896899499,-2.972531441310843,-2.972531441310843,-2.972531441310843,128.1921199565536,128.1921199565536,128.1921199565536,-131.16465139786445,-131.16465139786445,-131.16465139786445,0.0,0.0,0.0,10722.117365458187
2018-02-14,10723.977567529742,10000.431457302415,11359.769177233933,10723.977567529742,10723.977567529742,-18.984415191054403,-18.984415191054403,-18.984415191054403,130.4085106653555,130.4085106653555,130.4085106653555,-149.3929258564099,-149.3929258564099,-149.3929258564099,0.0,0.0,0.0,10704.993152338688
2018-02-15,10723.421402844864,9956.000455052108,11447.78104579355,10723.421402844864,10723.421402844864,-28.559292793838686,-28.559292793838686,-28.559292793838686,132.16746761311944,132.16746761311944,132.16746761311944,-160.7267604069581,-160.7267604069581,-160.7267604069581,0.0,0.0,0.0,10694.862110051026
2018-02-16,10722.865238159986,9989.894698978123,11398.1707313114,10722.865238159986,10722.865238159986,-54.17954275163511,-54.17954275163511,-54.17954275163511,119.50192119484075,119.50192119484075,119.50192119484075,-173.68146394647584,-173.68146394647584,-173.68146394647584,0.0,0.0,0.0,10668.68569540835
2018-02-19,10721.196744105353,9909.734548582554,11348.285407045483,10721.196744105353,10721.196744105353,-94.59538342575718,-94.59538342575718,-94.59538342575718,128.19211995639884,128.19211995639884,128.19211995639884,-222.78750338215602,-222.78750338215602,-222.78750338215602,0.0,0.0,0.0,10626.601360679595
2018-02-20,10720.640579420475,9915.84187468436,11320.066148209437,10720.640579420475,10720.640579420475,-111.38497015504724,-111.38497015504724,-111.38497015504724,131.19089596927122,131.19089596927122,131.19089596927122,-242.57586612431848,-242.57586612431848,-242.57586612431848,0.0,0.0,0.0,10609.255609265427
2018-02-21,10720.084414735597,9889.267542046537,11348.773727221664,10720.084414735597,10720.084414735597,-133.58400168392114,-133.58400168392114,-133.58400168392114,130.4085106655363,130.4085106655363,130.4085106655363,-263.99251234945746,-263.99251234945746,-263.99251234945746,0.0,0.0,0.0,10586.500413051675
2018-02-22,10719.528250050718,9817.153584296793,11275.054794412888,10719.528250050718,10719.528250050718,-154.77185612816973,-154.77185612816973,-154.77185612816973,132.1674676127848,132.1674676127848,132.1674676127848,-286.93932374095453,-286.93932374095453,-286.93932374095453,0.0,0.0,0.0,10564.75639392255
2018-02-23,10718.97208536584,9832.843800571314,11240.655610582353,10718.97208536584,10718.97208536584,-191.78581066224334,-191.78581066224334,-191.78581066224334,119.50192119453709,119.50192119453709,119.50192119453709,-311.28773185678045,-311.28773185678045,-311.28773185678045,0.0,0.0,0.0,10527.186274703598
2018-02-26,10717.303591311207,9700.435009332139,11130.214785520346,10717.303591311207,10717.303591311207,-262.8655361392654,-262.8655361392654,-262.8655361392654,128.19211995607304,128.19211995607304,128.19211995607304,-391.05765609533836,-391.05765609533836,-391.05765609533836,0.0,0.0,0.0,10454.438055171942
2018-02-27,10716.747426626329,9739.69198317253,11180.13245971146,10716.747426626329,10716.747426626329,-288.0276297266479,-288.0276297266479,-288.0276297266479,131.19089596900656,131.19089596900656,131.19089596900656,-419.2185256956544,-419.2185256956544,-419.2185256956544,0.0,0.0,0.0,10428.71979689968
2018-02-28,10716.19126194145,9665.87493836177,11114.590467385297,10716.19126194145,10716.19126194145,-317.38032365223864,-317.38032365223864,-317.38032365223864,130.4085106651796,130.4085106651796,130.4085106651796,-447.78883431741826,-447.78883431741826,-447.78883431741826,0.0,0.0,0.0,10398.810938289213
2018-03-01,10715.635097256572,9691.939645465554,11118.154221879922,10715.635097256572,10715.635097256572,-344.3601394419479,-344.3601394419479,-344.3601394419479,132.16746761294004,132.16746761294004,132.16746761294004,-476.52760705488794,-476.52760705488794,-476.52760705488794,0.0,0.0,0.0,10371.274957814625
2018-03-05,10713.410438517061,9527.255152117299,11014.352211924317,10713.410438517061,10713.410438517061,-460.10720527727335,-460.10720527727335,-460.10720527727335,128.1921199563916,128.1921199563916,128.1921199563916,-588.299325233665,-588.299325233665,-588.299325233665,0.0,0.0,0.0,10253.303233239789
2018-03-06,10712.854273832183,9521.352125718815,10942.747948621745,10712.854273832183,10712.854273832183,-483.0855232437357,-483.0855232437357,-483.0855232437357,131.19089596874184,131.19089596874184,131.19089596874184,-614.2764192124775,-614.2764192124775,-614.2764192124775,0.0,0.0,0.0,10229.768750588448
2018-03-07,10712.298109147305,9467.883754855264,10899.794600805697,10712.298109147305,10712.298109147305,-508.6308108120127,-508.6308108120127,-508.6308108120127,130.40851066589786,130.40851066589786,130.40851066589786,-639.0393214779106,-639.0393214779106,-639.0393214779106,0.0,0.0,0.0,10203.667298335293
2018-03-08,10711.741944462427,9528.546897579892,10878.781313095225,10711.741944462427,10711.741944462427,-530.2357403342425,-530.2357403342425,-530.2357403342425,132.16746761247012,132.16746761247012,132.16746761247012,-662.4032079467127,-662.4032079467127,-662.4032079467127,0.0,0.0,0.0,10181.506204128184
2018-03-09,10711.185779777548,9421.575488759756,10865.926820450366,10711.185779777548,10711.185779777548,-564.7019881923943,-564.7019881923943,-564.7019881923943,119.50192119475629,119.50192119475629,119.50192119475629,-684.2039093871506,-684.2039093871506,-684.2039093871506,0.0,0.0,0.0,10146.483791585153
2018-03-12,10709.517285722917,9346.776788747678,10876.381204469733,10709.517285722917,10709.517285722917,-610.7351199857842,-610.7351199857842,-610.7351199857842,128.19211995606582,128.19211995606582,128.19211995606582,-738.9272399418501,-738.9272399418501,-738.9272399418501,0.0,0.0,0.0,10098.782165737133
2018-03-13,10708.961121038039,9425.27651408984,10811.749491087832,10708.961121038039,10708.961121038039,-622.1042436436218,-622.1042436436218,-622.1042436436218,131.19089596879488,131.19089596879488,131.19089596879488,-753.2951396124166,-753.2951396124166,-753.2951396124166,0.0,0.0,0.0,10086.856877394417
2018-03-14,10708.40495635316,9278.40859945543,10768.30296380625,10708.40495635316,10708.40495635316,-635.2212359691458,-635.2212359691458,-635.2212359691458,130.40851066538025,130.40851066538025,130.40851066538025,-765.629746634526,-765.629746634526,-765.629746634526,0.0,0.0,0.0,10073.183720384015
2018-03-15,10707.848791668283,9311.419019580972,10740.332832572441,10707.848791668283,10707.848791668283,-643.740483432785,-643.740483432785,-643.740483432785,132.1674676127607,132.1674676127607,132.1674676127607,-775.9079510455458,-775.9079510455458,-775.9079510455458,0.0,0.0,0.0,10064.108308235498
2018-03-16,10707.292626983404,9282.078273489695,10710.791927367032,10707.292626983404,10707.292626983404,-664.6264176393408,-664.6264176393408,-664.6264176393408,119.5019211944527,119.5019211944527,119.5019211944527,-784.1283388337936,-784.1283388337936,-784.1283388337936,0.0,0.0,0.0,10042.666209344063
2018-03-19,10705.624132928771,9286.915297115735,10758.11852129188,10705.624132928771,10705.624132928771,-668.5267975260464,-668.5267975260464,-668.5267975260464,128.19211995655544,128.19211995655544,128.19211995655544,-796.7189174826018,-796.7189174826018,-796.7189174826018,0.0,0.0,0.0,10037.097335402725
2018-03-20,10705.067968243893,9327.490886345093,10707.008399486742,10705.067968243893,10705.067968243893,-665.8766222455816,-665.8766222455816,-665.8766222455816,131.19089596918607,131.19089596918607,131.19089596918607,-797.0675182147678,-797.0675182147678,-797.0675182147678,0.0,0.0,0.0,10039.191345998312
2018-03-21,10704.511803559015,9372.57746956854,10745.799753969935,10704.511803559015,10704.511803559015,-665.2053204809448,-665.2053204809448,-665.2053204809448,130.40851066556107,130.40851066556107,130.40851066556107,-795.6138311465058,-795.6138311465058,-795.6138311465058,0.0,0.0,0.0,10039.30648307807
2018-03-22,10703.955638874137,9314.060426646425,10813.792442415825,10703.955638874137,10703.955638874137,-660.2795258150766,-660.2795258150766,-660.2795258150766,132.16746761305126,132.16746761305126,132.16746761305126,-792.4469934281278,-792.4469934281278,-792.4469934281278,0.0,0.0,0.0,10043.67611305906
2018-03-23,10703.399474189258,9323.50456156645,10757.285843289812,10703.399474189258,10703.399474189258,-668.162031749447,-668.162031749447,-668.162031749447,119.50192119412328,119.50192119412328,119.50192119412328,-787.6639529435703,-787.6639529435703,-787.6639529435703,0.0,0.0,0.0,10035.237442439811
2018-03-26,10701.730980134625,9323.557827140981,10774.149046698796,10701.730980134625,10701.730980134625,-636.4742741091067,-636.4742741091067,-636.4742741091067,128.19211995622962,128.19211995622962,128.19211995622962,-764.6663940653362,-764.6663940653362,-764.6663940653362,0.0,0.0,0.0,10065.256706025519
2018-03-27,10701.174815449747,9401.98972821572,10778.203350718219,10701.174815449747,10701.174815449747,-623.2922660533328,-623.2922660533328,-623.2922660533328,131.1908959689214,131.1908959689214,131.1908959689214,-754.4831620222542,-754.4831620222542,-754.4831620222542,0.0,0.0,0.0,10077.882549396414
2018-03-28,10700.618650764869,9354.420804275594,10870.935966328067,10700.618650764869,10700.618650764869,-612.8192328419126,-612.8192328419126,-612.8192328419126,130.4085106655809,130.4085106655809,130.4085106655809,-743.2277435074935,-743.2277435074935,-743.2277435074935,0.0,0.0,0.0,10087.799417922957
2018-04-02,10697.83782734048,9457.798576291993,10861.31164399281,10697.83782734048,10697.83782734048,-546.5961357532807,-546.5961357532807,-546.5961357532807,128.19211995590385,128.19211995590385,128.19211995590385,-674.7882557091845,-674.7882557091845,-674.7882557091845,0.0,0.0,0.0,10151.241691587198
2018-04-03,10697.281662655601,9426.901353055175,10836.855424517707,10697.281662655601,10697.281662655601,-528.2550405287706,-528.2550405287706,-528.2550405287706,131.1908959693126,131.1908959693126,131.1908959693126,-659.4459364980831,-659.4459364980831,-659.4459364980831,0.0,0.0,0.0,10169.02662212683
2018-04-04,10696.725498794947,9465.536087765062,10882.194427187142,10696.725498794947,10696.725498794947,-513.4019451525508,-513.4019451525508,-513.4019451525508,130.40851066560074,130.40851066560074,130.40851066560074,-643.8104558181515,-643.8104558181515,-643.8104558181515,0.0,0.0,0.0,10183.323553642396
2018-04-05,10696.169334934293,9515.630561099775,10878.003617803124,10696.169334934293,10696.169334934293,-495.8255075223601,-495.8255075223601,-495.8255075223601,132.16746761287192,132.16746761287192,132.16746761287192,-627.992975135232,-627.992975135232,-627.992975135232,0.0,0.0,0.0,10200.343827411933
